"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R1-New England Region,Planning,Reconfigure 60 ton chiller pipe,Providence,RI,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$60,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,Gerald Walsh,jerry.walsh@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Exterior Waterpoofing & Drainage,Providence,RI,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$15,000.00",,n/a,TBD,New Requirement,GSA funded,to be determined,,FY 2015-1st Quarter,Gerald.Walsh,jerry.walsh@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Repair Parking Lot Drain,Providence,RI,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$28,000.00",,n/a,TBD,New Requirement,GSA funded,to be determined,,FY 2015-1st Quarter,Gerald.Walsh,jerry.walsh@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Reconfigure 60 ton chiller pipe,Providence,RI,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$60,000.00",,n/a,TBD,New Requirement,GSA funded,to be determined,,FY 2015-1st Quarter,Gerald.Walsh,jerry.walsh@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Formative,Structural Stiffening at Moakley Courthouse,Boston,MA,Undetermined,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,$0.00,$0.00,,,,New Requirement,To Be Determined,2nd Quarter FY '15,,FY 2015-2nd Quarter,John Sarnoski,john.sarnoski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Office Space Alteration (ICE),Hartford,CT,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,"$500,000.00","$1,000,000.00",,n/a,TBD,New Requirement,Both,1/16/15,,FY 2015-2nd Quarter,Justin Zagorski,justin.zagorski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Office Space Alteration (DOS),Bridgeport,CT,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,"$250,000.00","$500,000.00",,n/a,TBD,New Requirement,Both,1/15/15,,FY 2015-2nd Quarter,Justin Zagorski,justin.zagorski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,EFI / Design NOAA,New Bedford,MA,541310,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00","$75,000.00",,n/a,TBD,New Requirement,Both,1/15/15,,FY 2015-2nd Quarter,Justin Zagorski,justin.zagorski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,HVAC Upgrade,New Bedford,MA,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,"$500,000.00","$1,000,000.00",,n/a,TBD,New Requirement,GSA funded,8/15/15,,FY 2015-4th Quarter,Justin Zagorski,justin.zagorski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Alteration (NOAA),New Bedford,MA,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,"$250,000.00","$500,000.00",,n/a,TBD,New Requirement,Both,8/15/15,,FY 2015-4th Quarter,Justin Zagorski,justin.zagorski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Commissioning Agent for Derby LPOE Port Refresh,Derby Line,VT,541618,Small Business,Firm Fixed Price,Negotiated,Set-Aside,"$250,000.00","$300,000.00",,,,New Requirement,GSA funded,Summer 2015,,FY 2015-2nd Quarter,Kathryn Thomas,kathryn.thomas@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,A/E  Annex at the Ribicoff Federal Building,,CT,541310,Small Business,Firm Fixed Price,Negotiated,Set-Aside,$0.00,$0.00,,,,New Requirement,GSA funded,5/1/15,,FY 2015-4th Quarter,Kathryn Thomas,kathryn.thomas@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"USMS Holding Cells, Prisoner Elevator, & Secure Corridor",Springfield,MA,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,"$1,400,000.00","$1,600,000.00",,N/A,TBD,New Requirement,Non-GSA funded,5/1/15,,FY 2015-3rd Quarter,Kathryn Thomas,kathryn.thomas@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"USMS Holding Cells, Prisoner Elevator, & Secure Corridor",Springfield,MA,541990,Small Business,Firm Fixed Price,To Be Determined,To Be Determined,$0.00,$0.00,,N/A,TBD,New Requirement,Non-GSA funded,5/1/15,,FY 2015-3rd Quarter,Kathryn Thomas,kathryn.thomas@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Demolition Services for Derby LPOE Port Refresh,Derby Line,VT,238910,Small Business,Firm Fixed Price,Negotiated,Set-Aside,"$50,000.00","$100,000.00",,N/A,TBD,New Requirement,GSA funded,FY 2015 3rd Quarter,,FY 2015-3rd Quarter,Kathryn Thomas,kathryn.thomas@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Replace Gate system,New Bedford,MA,238210,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$40,000.00",,n/A,TBD,New Requirement,GSA funded,to be determined,,FY 2015-1st Quarter,Kevin Whitman,kevin.whitman@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Replace BAS,Pittsfield,MA,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$90,000.00",,n/A,TBD,New Requirement,GSA funded,to be determined,,FY 2015-1st Quarter,Kevin Whitman,kevin.whitman@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,"FPS Upgrade, Philbin FB",Fitchburg,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,$0.00,"$41,111.00",,n/a,TBD,New Requirement,Non-GSA funded,to be determined,,FY 2015-1st Quarter,Kevin Whitman,kevin.whitman@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,ISA for SSA third floor expansion,FITCHBURG,MA,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$5,787.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,Kevin Whitman,kevin.whitman@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Drafting Solicitation,Replace Existing Overhead Garage Doors,Manchester,NH,332321,Small Business,Firm Fixed Price,Negotiated,Set-Aside,"$25,000.00","$75,000.00",,n/a,TBD,New Requirement,GSA funded,11/15/14,,FY 2015-1st Quarter,Marcy Beitel,marcy.beitel@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Award Pending,Expand Public Entrance - O'Neill FOB,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$500,000.00","$1,000,000.00",,N/A,TBD,New Requirement,GSA funded,To Be Determined,,FY 2015-1st Quarter,Mark Rinaldi,mark.rinaldi@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Exterior Expansion Joint/Flashing/Caulking Repair - Moakley Court House,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$1,000,000.00","$5,000,000.00",,N/A,TBD,New Requirement,GSA funded,To Be Determined,,FY 2015-3rd Quarter,Mark Rinaldi,mark.rinaldi@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Streetscape security Improvements - O'Neill FOB,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$1,000,000.00","$5,000,000.00",,N/A,TBD,New Requirement,GSA funded,To Be Determined,,FY 2015-3rd Quarter,Mark Rinaldi,mark.rinaldi@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,EOIR Additional Coolers - JFK FOB,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$100,000.00","$250,000.00",,N/A,TBD,New Requirement,GSA funded,To Be Determined,,FY 2015-2nd Quarter,Mark Rinaldi,mark.rinaldi@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Award Pending,Upgrade Video Camera Capability - Moakley Federal Courthouse,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$100,000.00","$250,000.00",,N/A,TBD,New Requirement,GSA funded,To Be Determined,,FY 2015-2nd Quarter,Mark Rinaldi,mark.rinaldi@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Install Pony Boiler,Springfield,MA,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$11,000.00",,n/A,TBD,New Requirement,GSA funded,to be determined,,FY 2015-1st Quarter,Mak Howard,marks.howard@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Install pony boiler,Bridgeport,CT,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$11,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,Mark Howard,marks.howard@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Evaluation Stage,Preparation of shell space John W McCormack FOB,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$250,000.00","$5,000,000.00",,N/A,TBD,New Requirement,GSA funded,10/3/14,,FY 2015-1st Quarter,Stephanie Klein,stephanie.klein@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Awarded,Dry Cooler Expansion,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$100,000.00","$250,000.00",,CTS Construction,GS-01P-13-BZ-D-0012/GS-P-01-15-BZ-5004,New Requirement,GSA funded,10/24/14,,FY 2015-1st Quarter,Stephanie Klein,stephanie.klein@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,ISA Consolidation DHS/FPS 9th Floor- O'Neill FOB,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$500,000.00","$1,000,000.00",,N/A,TBD,New Requirement,GSA funded,To Be Determined,,FY 2015-4th Quarter,Stephanie Klein,stephanie.klein@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,WALL COVERING,HARTFORD,CT,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,$0.00,"$16,968.00",,N/A,TBD,New Requirement,Non-GSA funded,10/16/14,,FY 2015-1st Quarter,Thomas Anderson,tom.anderson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Carpet replacement 7th FL common area,HARTFORD,CT,238330,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$30,000.00",,N/A,TBD,New Requirement,GSA funded,To be determined,,FY 2015-1st Quarter,Thomas Anderson,Tom.anderson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,CO2 Monitoring,HARTFORD,CT,541380,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,$110.00,,n/A,TBD,New Requirement,GSA funded,to be determined,,FY 2015-1st Quarter,Thomas Anderson,Tom.anderson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Carpet Replacement - 7th Floor Common Area,Hartford,CT,238330,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$30,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,Thomas Anderson,tom.anderson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,CO2 Monitoring,Hartford,CT,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$110,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,Thomas Anderson,tom.anderson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Install Card Reader, Probation - Ribicoff",Hartford,CT,238210,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$12,041.51",,N/A,TBD,New Requirement,Non-GSA funded,To be Determined,,FY 2015-3rd Quarter,Thomas Anderson,tom.anderson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Install 2 TV monitors Courts - Ribicoff,Hartford,CT,238210,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$8,745.00",,N/A,TBD,New Requirement,Non-GSA funded,To be Determined,,FY 2015-3rd Quarter,Thomas Anderson,tom.anderson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Replace Floor Tiles,Bridgeport,CT,238330,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$17,636.23",,N/A,TBD,New Requirement,Non-GSA funded,To be Determined,,FY 2015-3rd Quarter,Derek Lata,derek.lata@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Ceiling Replacement, Courts Pastore",Providence,RI,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$15,835.89",,N/A,TBD,New Requirement,Non-GSA funded,To be Determined,,FY 2015-3rd Quarter,Gerald Walsh,jerry.walsh@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Rubber Flooring, Courts, Prov CTHS",Providence,RI,238330,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$9,609.65",,N/A,TBD,New Requirement,Non-GSA funded,To be Determined,,FY 2015-3rd Quarter,Gerald Walsh,jerry.walsh@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Renovate Judge Halls Bath, Lee CTHS",New Haven,CT,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$11,562.20",,N/A,TBD,New Requirement,Non-GSA funded,To be Determined,,FY 2015-3rd Quarter,Francis Vecchitto,francis.vecchitto@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Renovate Judge Halls Bath, Lee CTHS",Providence,RI,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$38,188.00",,N/A,TBD,New Requirement,Non-GSA funded,To be Determined,,FY 2015-3rd Quarter,Gerald Walsh,jerry.walsh@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Dispose of Excess Property, fPS Philbin",FITCHBURG,MA,484210,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$5,693.00",,N/A,TBD,New Requirement,Non-GSA funded,To be Determined,,FY 2015-3rd Quarter,Kevin Whitman,kevin.whitman@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Replace Kitchenette Cabinetts Cotter,Hartford,CT,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$12,529.18",,N/A,TBD,New Requirement,Non-GSA funded,To be Determined,,FY 2015-3rd Quarter,Thomas Anderson,tom.anderson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Carpet/Paint TIGTA,Hartford,CT,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$12,715.68",,N/A,TBD,New Requirement,Non-GSA funded,To be Determined,,FY 2015-3rd Quarter,Thomas Anderson,tom.anderson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Install Sink IRS,Hartford,CT,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$9,247.97",,N/A,TBD,New Requirement,Non-GSA funded,To be Determined,,FY 2015-3rd Quarter,Mark Howard,marks.howard@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,"Chiller Variable Frequency Drives, D'Amato",CENTRAL ISLIP,NY,Undetermined,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,"$665,000.00","$665,400.00",,NA,To Be Determined,New Requirement,GSA funded,,,FY 2015-4th Quarter,Dante Jimenez,,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,"Replace 350 ton trane absorber in 14th fl MER, Roosevelt",NEW YORK-KINGS,NY,Undetermined,Other Than Small,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Follow On to Competed Action,"$1,740,000.00","$1,750,000.00",,NA,To Be Determined,To Be Determined,To Be Determined,,,FY 2015-4th Quarter,Jay Cannavo,,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Replace Steel Grating,Brooklyn,NY,Undetermined,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Purchase Order,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)","$80,000.00","$100,000.00",,NA,TBD,New Requirement,GSA funded,,,FY 2015-2nd Quarter,Roxanne Micca,Roxanne.micca@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Reset Cobblestone in Front of 225 Cadman Plaza,Brooklyn,NY,Undetermined,Small Business,Firm Fixed Price,Purchase Order,,"$150,000.00","$210,000.00",,NA,TBD,New Requirement,GSA funded,,,FY 2015-4th Quarter,Roxanne Micca,,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Drafting Solicitation,"Repair Windows, Robert A. Roe FB",PATERSON,NJ,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Sealed Bid,Set-Aside,"$400,000.00","$1,100,000.00",,NA,NA,New Requirement,GSA funded,Q3,NA,FY 2015-4th Quarter,D. Cassert,david.cassert@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Window Replacement at the MKL,Newark,NJ,236220,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Negotiated,Set-Aside,"$1,500,000.00","$2,200,000.00",,NA,NA,New Requirement,GSA funded,Q3,NA,FY 2015-3rd Quarter,D. Cassert,david.cassert@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,"Chilled Water Piping Repairs, Toledo FB",SAN JUAN,PR,236220,Small Business,Firm Fixed Price,Negotiated,Set-Aside,"$1,225,000.00","$1,235,000.00",,N/A,N/A,New Requirement,GSA funded,Q2,N/A,FY 2015-2nd Quarter,Olga Rodriguez,olga.rodriguez@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
